,result,table,_start,_stop,_time,_value,_field,_measurement,endpoint,test,uuid
,,0,2025-01-05T05:38:23.064869755Z,2025-01-05T06:38:23.064869755Z,2025-01-05T05:39:01.890807778Z,9962300,response_time,IPv6,2606:4700:4700::1111,tcp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T05:38:23.064869755Z,2025-01-05T06:38:23.064869755Z,2025-01-05T05:40:01.947597994Z,10939995,response_time,IPv6,2606:4700:4700::1111,tcp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T05:38:23.064869755Z,2025-01-05T06:38:23.064869755Z,2025-01-05T05:41:02.008871596Z,9661747,response_time,IPv6,2606:4700:4700::1111,tcp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T05:38:23.064869755Z,2025-01-05T06:38:23.064869755Z,2025-01-05T05:42:02.0660727Z,10741701,response_time,IPv6,2606:4700:4700::1111,tcp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T05:38:23.064869755Z,2025-01-05T06:38:23.064869755Z,2025-01-05T05:43:02.120267808Z,10125226,response_time,IPv6,2606:4700:4700::1111,tcp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T05:38:23.064869755Z,2025-01-05T06:38:23.064869755Z,2025-01-05T05:44:02.177306411Z,10998014,response_time,IPv6,2606:4700:4700::1111,tcp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T05:38:23.064869755Z,2025-01-05T06:38:23.064869755Z,2025-01-05T05:45:02.236853148Z,10482982,response_time,IPv6,2606:4700:4700::1111,tcp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T05:38:23.064869755Z,2025-01-05T06:38:23.064869755Z,2025-01-05T05:46:02.304119574Z,10048634,response_time,IPv6,2606:4700:4700::1111,tcp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T05:38:23.064869755Z,2025-01-05T06:38:23.064869755Z,2025-01-05T05:47:02.353186927Z,10198315,response_time,IPv6,2606:4700:4700::1111,tcp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T05:38:23.064869755Z,2025-01-05T06:38:23.064869755Z,2025-01-05T05:48:06.405113003Z,10051027,response_time,IPv6,2606:4700:4700::1111,tcp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T05:38:23.064869755Z,2025-01-05T06:38:23.064869755Z,2025-01-05T05:49:02.465336212Z,10022106,response_time,IPv6,2606:4700:4700::1111,tcp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T05:38:23.064869755Z,2025-01-05T06:38:23.064869755Z,2025-01-05T05:50:01.529688221Z,10715879,response_time,IPv6,2606:4700:4700::1111,tcp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T05:38:23.064869755Z,2025-01-05T06:38:23.064869755Z,2025-01-05T05:51:01.580539029Z,10390813,response_time,IPv6,2606:4700:4700::1111,tcp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T05:38:23.064869755Z,2025-01-05T06:38:23.064869755Z,2025-01-05T05:52:01.644814363Z,9573790,response_time,IPv6,2606:4700:4700::1111,tcp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T05:38:23.064869755Z,2025-01-05T06:38:23.064869755Z,2025-01-05T05:53:01.695586033Z,10353599,response_time,IPv6,2606:4700:4700::1111,tcp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T05:38:23.064869755Z,2025-01-05T06:38:23.064869755Z,2025-01-05T05:54:01.756896942Z,9817274,response_time,IPv6,2606:4700:4700::1111,tcp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T05:38:23.064869755Z,2025-01-05T06:38:23.064869755Z,2025-01-05T05:55:01.823436063Z,10688156,response_time,IPv6,2606:4700:4700::1111,tcp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T05:38:23.064869755Z,2025-01-05T06:38:23.064869755Z,2025-01-05T05:56:01.871534358Z,10168812,response_time,IPv6,2606:4700:4700::1111,tcp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T05:38:23.064869755Z,2025-01-05T06:38:23.064869755Z,2025-01-05T05:57:01.929504246Z,10416256,response_time,IPv6,2606:4700:4700::1111,tcp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T05:38:23.064869755Z,2025-01-05T06:38:23.064869755Z,2025-01-05T05:58:01.996037515Z,10304240,response_time,IPv6,2606:4700:4700::1111,tcp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T05:38:23.064869755Z,2025-01-05T06:38:23.064869755Z,2025-01-05T05:59:02.050795893Z,10342390,response_time,IPv6,2606:4700:4700::1111,tcp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T05:38:23.064869755Z,2025-01-05T06:38:23.064869755Z,2025-01-05T06:00:02.104396911Z,10475353,response_time,IPv6,2606:4700:4700::1111,tcp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T05:38:23.064869755Z,2025-01-05T06:38:23.064869755Z,2025-01-05T06:01:02.157757162Z,10279320,response_time,IPv6,2606:4700:4700::1111,tcp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T05:38:23.064869755Z,2025-01-05T06:38:23.064869755Z,2025-01-05T06:02:02.215326141Z,9729770,response_time,IPv6,2606:4700:4700::1111,tcp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T05:38:23.064869755Z,2025-01-05T06:38:23.064869755Z,2025-01-05T06:03:02.274515295Z,9948232,response_time,IPv6,2606:4700:4700::1111,tcp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T05:38:23.064869755Z,2025-01-05T06:38:23.064869755Z,2025-01-05T06:04:02.331648087Z,10012510,response_time,IPv6,2606:4700:4700::1111,tcp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T05:38:23.064869755Z,2025-01-05T06:38:23.064869755Z,2025-01-05T06:05:02.391907469Z,10461636,response_time,IPv6,2606:4700:4700::1111,tcp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T05:38:23.064869755Z,2025-01-05T06:38:23.064869755Z,2025-01-05T06:06:02.44794464Z,10593950,response_time,IPv6,2606:4700:4700::1111,tcp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T05:38:23.064869755Z,2025-01-05T06:38:23.064869755Z,2025-01-05T06:07:01.510238777Z,9639812,response_time,IPv6,2606:4700:4700::1111,tcp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T05:38:23.064869755Z,2025-01-05T06:38:23.064869755Z,2025-01-05T06:08:01.563398434Z,10011605,response_time,IPv6,2606:4700:4700::1111,tcp6,adc0b706-687e-4430-8302-e059cdfc52ea
