,result,table,_start,_stop,_time,_value,_field,_measurement,endpoint,test,uuid
,,0,2025-01-05T06:18:00.108077147Z,2025-01-05T07:18:00.108077147Z,2025-01-05T06:18:02.071410646Z,9448539,response_time,IPv6,2606:4700:4700::1111,icmp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T06:18:00.108077147Z,2025-01-05T07:18:00.108077147Z,2025-01-05T06:19:02.124008388Z,10611399,response_time,IPv6,2606:4700:4700::1111,icmp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T06:18:00.108077147Z,2025-01-05T07:18:00.108077147Z,2025-01-05T06:20:02.175528888Z,10408864,response_time,IPv6,2606:4700:4700::1111,icmp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T06:18:00.108077147Z,2025-01-05T07:18:00.108077147Z,2025-01-05T06:21:02.232166857Z,10050616,response_time,IPv6,2606:4700:4700::1111,icmp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T06:18:00.108077147Z,2025-01-05T07:18:00.108077147Z,2025-01-05T06:22:02.289269865Z,10474675,response_time,IPv6,2606:4700:4700::1111,icmp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T06:18:00.108077147Z,2025-01-05T07:18:00.108077147Z,2025-01-05T06:23:02.344222179Z,9959342,response_time,IPv6,2606:4700:4700::1111,icmp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T06:18:00.108077147Z,2025-01-05T07:18:00.108077147Z,2025-01-05T06:24:02.399813658Z,9867165,response_time,IPv6,2606:4700:4700::1111,icmp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T06:18:00.108077147Z,2025-01-05T07:18:00.108077147Z,2025-01-05T06:25:01.453935019Z,9428624,response_time,IPv6,2606:4700:4700::1111,icmp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T06:18:00.108077147Z,2025-01-05T07:18:00.108077147Z,2025-01-05T06:26:01.518944913Z,9811809,response_time,IPv6,2606:4700:4700::1111,icmp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T06:18:00.108077147Z,2025-01-05T07:18:00.108077147Z,2025-01-05T06:27:01.57791851Z,9695557,response_time,IPv6,2606:4700:4700::1111,icmp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T06:18:00.108077147Z,2025-01-05T07:18:00.108077147Z,2025-01-05T06:28:01.637514519Z,10430236,response_time,IPv6,2606:4700:4700::1111,icmp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T06:18:00.108077147Z,2025-01-05T07:18:00.108077147Z,2025-01-05T06:29:01.688194443Z,10270966,response_time,IPv6,2606:4700:4700::1111,icmp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T06:18:00.108077147Z,2025-01-05T07:18:00.108077147Z,2025-01-05T06:30:01.750348421Z,10105194,response_time,IPv6,2606:4700:4700::1111,icmp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T06:18:00.108077147Z,2025-01-05T07:18:00.108077147Z,2025-01-05T06:31:01.806716029Z,10629561,response_time,IPv6,2606:4700:4700::1111,icmp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T06:18:00.108077147Z,2025-01-05T07:18:00.108077147Z,2025-01-05T06:32:01.873790018Z,10183070,response_time,IPv6,2606:4700:4700::1111,icmp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T06:18:00.108077147Z,2025-01-05T07:18:00.108077147Z,2025-01-05T06:33:01.927304112Z,9619266,response_time,IPv6,2606:4700:4700::1111,icmp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T06:18:00.108077147Z,2025-01-05T07:18:00.108077147Z,2025-01-05T06:34:01.978669389Z,10411721,response_time,IPv6,2606:4700:4700::1111,icmp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T06:18:00.108077147Z,2025-01-05T07:18:00.108077147Z,2025-01-05T06:35:02.033004147Z,9319996,response_time,IPv6,2606:4700:4700::1111,icmp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T06:18:00.108077147Z,2025-01-05T07:18:00.108077147Z,2025-01-05T06:36:02.094076196Z,9804196,response_time,IPv6,2606:4700:4700::1111,icmp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T06:18:00.108077147Z,2025-01-05T07:18:00.108077147Z,2025-01-05T06:37:02.154830054Z,9338610,response_time,IPv6,2606:4700:4700::1111,icmp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T06:18:00.108077147Z,2025-01-05T07:18:00.108077147Z,2025-01-05T06:38:02.218302198Z,9316390,response_time,IPv6,2606:4700:4700::1111,icmp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T06:18:00.108077147Z,2025-01-05T07:18:00.108077147Z,2025-01-05T06:39:02.267201791Z,9654221,response_time,IPv6,2606:4700:4700::1111,icmp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T06:18:00.108077147Z,2025-01-05T07:18:00.108077147Z,2025-01-05T06:40:02.322312115Z,9815904,response_time,IPv6,2606:4700:4700::1111,icmp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T06:18:00.108077147Z,2025-01-05T07:18:00.108077147Z,2025-01-05T06:41:02.385258605Z,9409096,response_time,IPv6,2606:4700:4700::1111,icmp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T06:18:00.108077147Z,2025-01-05T07:18:00.108077147Z,2025-01-05T06:42:01.44355978Z,9276190,response_time,IPv6,2606:4700:4700::1111,icmp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T06:18:00.108077147Z,2025-01-05T07:18:00.108077147Z,2025-01-05T06:43:01.502099988Z,10076461,response_time,IPv6,2606:4700:4700::1111,icmp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T06:18:00.108077147Z,2025-01-05T07:18:00.108077147Z,2025-01-05T06:44:01.561980366Z,10235255,response_time,IPv6,2606:4700:4700::1111,icmp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T06:18:00.108077147Z,2025-01-05T07:18:00.108077147Z,2025-01-05T06:45:01.618173874Z,10403718,response_time,IPv6,2606:4700:4700::1111,icmp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T06:18:00.108077147Z,2025-01-05T07:18:00.108077147Z,2025-01-05T06:46:01.67821841Z,9682856,response_time,IPv6,2606:4700:4700::1111,icmp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T06:18:00.108077147Z,2025-01-05T07:18:00.108077147Z,2025-01-05T06:47:01.73560219Z,9377990,response_time,IPv6,2606:4700:4700::1111,icmp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T06:18:00.108077147Z,2025-01-05T07:18:00.108077147Z,2025-01-05T06:48:05.794809896Z,10482533,response_time,IPv6,2606:4700:4700::1111,icmp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T06:18:00.108077147Z,2025-01-05T07:18:00.108077147Z,2025-01-05T06:49:01.846239666Z,10605754,response_time,IPv6,2606:4700:4700::1111,icmp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T06:18:00.108077147Z,2025-01-05T07:18:00.108077147Z,2025-01-05T06:50:01.907358877Z,9346954,response_time,IPv6,2606:4700:4700::1111,icmp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T06:18:00.108077147Z,2025-01-05T07:18:00.108077147Z,2025-01-05T06:51:01.96736623Z,9955670,response_time,IPv6,2606:4700:4700::1111,icmp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T06:18:00.108077147Z,2025-01-05T07:18:00.108077147Z,2025-01-05T06:52:02.027195089Z,10450535,response_time,IPv6,2606:4700:4700::1111,icmp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T06:18:00.108077147Z,2025-01-05T07:18:00.108077147Z,2025-01-05T06:53:02.079510248Z,10299519,response_time,IPv6,2606:4700:4700::1111,icmp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T06:18:00.108077147Z,2025-01-05T07:18:00.108077147Z,2025-01-05T06:54:02.136825586Z,10575386,response_time,IPv6,2606:4700:4700::1111,icmp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T06:18:00.108077147Z,2025-01-05T07:18:00.108077147Z,2025-01-05T06:55:02.190800099Z,10436464,response_time,IPv6,2606:4700:4700::1111,icmp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T06:18:00.108077147Z,2025-01-05T07:18:00.108077147Z,2025-01-05T06:56:02.247972942Z,10046830,response_time,IPv6,2606:4700:4700::1111,icmp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T06:18:00.108077147Z,2025-01-05T07:18:00.108077147Z,2025-01-05T06:57:02.309217466Z,10118316,response_time,IPv6,2606:4700:4700::1111,icmp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T06:18:00.108077147Z,2025-01-05T07:18:00.108077147Z,2025-01-05T06:58:02.36544616Z,9479739,response_time,IPv6,2606:4700:4700::1111,icmp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T06:18:00.108077147Z,2025-01-05T07:18:00.108077147Z,2025-01-05T06:59:01.423662311Z,10331471,response_time,IPv6,2606:4700:4700::1111,icmp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T06:18:00.108077147Z,2025-01-05T07:18:00.108077147Z,2025-01-05T07:00:01.475711847Z,9340194,response_time,IPv6,2606:4700:4700::1111,icmp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T06:18:00.108077147Z,2025-01-05T07:18:00.108077147Z,2025-01-05T07:01:01.541913201Z,10086001,response_time,IPv6,2606:4700:4700::1111,icmp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T06:18:00.108077147Z,2025-01-05T07:18:00.108077147Z,2025-01-05T07:02:01.597052288Z,9462532,response_time,IPv6,2606:4700:4700::1111,icmp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T06:18:00.108077147Z,2025-01-05T07:18:00.108077147Z,2025-01-05T07:03:01.652393858Z,10532667,response_time,IPv6,2606:4700:4700::1111,icmp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T06:18:00.108077147Z,2025-01-05T07:18:00.108077147Z,2025-01-05T07:04:01.70563865Z,10016806,response_time,IPv6,2606:4700:4700::1111,icmp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T06:18:00.108077147Z,2025-01-05T07:18:00.108077147Z,2025-01-05T07:05:01.770314188Z,10524117,response_time,IPv6,2606:4700:4700::1111,icmp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T06:18:00.108077147Z,2025-01-05T07:18:00.108077147Z,2025-01-05T07:06:01.829333767Z,9337301,response_time,IPv6,2606:4700:4700::1111,icmp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T06:18:00.108077147Z,2025-01-05T07:18:00.108077147Z,2025-01-05T07:07:01.882367014Z,9604800,response_time,IPv6,2606:4700:4700::1111,icmp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T06:18:00.108077147Z,2025-01-05T07:18:00.108077147Z,2025-01-05T07:08:01.939323895Z,10089943,response_time,IPv6,2606:4700:4700::1111,icmp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T06:18:00.108077147Z,2025-01-05T07:18:00.108077147Z,2025-01-05T07:09:02.119122272Z,9665468,response_time,IPv6,2606:4700:4700::1111,icmp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T06:18:00.108077147Z,2025-01-05T07:18:00.108077147Z,2025-01-05T07:10:02.055307221Z,9300419,response_time,IPv6,2606:4700:4700::1111,icmp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T06:18:00.108077147Z,2025-01-05T07:18:00.108077147Z,2025-01-05T07:11:02.110005487Z,9663786,response_time,IPv6,2606:4700:4700::1111,icmp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T06:18:00.108077147Z,2025-01-05T07:18:00.108077147Z,2025-01-05T07:12:02.168790156Z,9429697,response_time,IPv6,2606:4700:4700::1111,icmp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T06:18:00.108077147Z,2025-01-05T07:18:00.108077147Z,2025-01-05T07:13:02.233516537Z,9243496,response_time,IPv6,2606:4700:4700::1111,icmp6,adc0b706-687e-4430-8302-e059cdfc52ea
,,0,2025-01-05T06:18:00.108077147Z,2025-01-05T07:18:00.108077147Z,2025-01-05T07:14:02.290385043Z,10673276,response_time,IPv6,2606:4700:4700::1111,icmp6,adc0b706-687e-4430-8302-e059cdfc52ea

