_time,_value
2023-12-17T01:23:40.92580308Z,23
2023-12-17T01:23:51.27117439Z,50
2023-12-17T01:24:01.442130101Z,47
2023-12-17T01:24:11.748041292Z,22
2023-12-17T01:24:21.954779225Z,34
2023-12-17T01:24:32.327900687Z,27
2023-12-17T01:24:42.664863509Z,35
2023-12-17T01:24:52.763647661Z,28
2023-12-17T01:25:03.066552235Z,24
2023-12-17T01:25:13.392894073Z,19
2023-12-17T01:25:23.717165016Z,31
2023-12-17T01:25:33.843946952Z,21
2023-12-17T01:25:44.220855991Z,20
2023-12-17T01:25:54.530002077Z,42
2023-12-17T01:26:04.833902421Z,27
2023-12-17T01:26:15.164563657Z,20
2023-12-17T01:26:25.283899906Z,32
2023-12-17T01:26:35.457593027Z,20
2023-12-17T01:26:45.756102535Z,42
2023-12-17T01:26:56.097412513Z,30
2023-12-17T01:27:06.397793366Z,39
2023-12-17T01:27:16.732420626Z,23
2023-12-17T01:27:27.053145817Z,22
2023-12-17T01:27:37.183931305Z,45
2023-12-17T01:27:47.519240368Z,24
2023-12-17T01:27:57.829913894Z,53
2023-12-17T01:28:08.168123849Z,52
2023-12-17T01:28:18.494630697Z,26
2023-12-17T01:28:28.833444172Z,23
2023-12-17T01:28:39.13695487Z,31
2023-12-17T01:28:49.47533857Z,27
2023-12-17T01:28:59.825619091Z,35
2023-12-17T01:29:10.16132322Z,62
2023-12-17T01:29:20.262978011Z,30
2023-12-17T01:29:30.597878737Z,32
2023-12-17T01:29:40.713699864Z,36
2023-12-17T01:29:51.037469216Z,18
2023-12-17T01:30:01.340686738Z,25
2023-12-17T01:30:11.672508301Z,11
2023-12-17T01:30:21.940959222Z,39
2023-12-17T01:30:32.084568768Z,36
2023-12-17T01:30:42.417208253Z,27
2023-12-17T01:30:52.746108667Z,32
2023-12-17T01:31:03.069049183Z,79
2023-12-17T01:31:13.346286177Z,74
2023-12-17T01:31:23.478567444Z,56
2023-12-17T01:31:33.629293712Z,26
2023-12-17T01:31:43.927338648Z,17
2023-12-17T01:31:54.244867105Z,24
2023-12-17T01:32:04.588293154Z,30
2023-12-17T01:32:14.917321237Z,19
2023-12-17T01:32:25.31101664Z,19
2023-12-17T01:32:35.420619587Z,20
2023-12-17T01:32:45.759107839Z,27
2023-12-17T01:32:55.868615071Z,25
2023-12-17T01:33:05.980480124Z,22
2023-12-17T01:33:16.350172699Z,16
2023-12-17T01:33:26.694698528Z,24
2023-12-17T01:33:37.025572618Z,22
2023-12-17T01:33:47.393219397Z,27
2023-12-17T01:33:57.691435698Z,45
2023-12-17T01:34:07.843366094Z,20
2023-12-17T01:34:18.168994176Z,38
2023-12-17T01:34:28.511567178Z,28
2023-12-17T01:34:38.613486243Z,18
2023-12-17T01:34:48.931722371Z,26
2023-12-17T01:34:59.267389438Z,32
2023-12-17T01:35:09.58153678Z,36
2023-12-17T01:35:19.899406708Z,25
2023-12-17T01:35:29.998213495Z,22
2023-12-17T01:35:40.13779433Z,35
2023-12-17T01:35:50.457216335Z,53
2023-12-17T01:36:00.796237689Z,34
2023-12-17T01:36:11.112215839Z,24
2023-12-17T01:36:21.43354858Z,29
2023-12-17T01:36:31.77756823Z,21
2023-12-17T01:36:42.111672912Z,36
2023-12-17T01:36:52.436694003Z,28
2023-12-17T01:37:02.568382641Z,31
2023-12-17T01:37:12.938295293Z,17
2023-12-17T01:37:23.263959382Z,21
2023-12-17T01:37:33.604504391Z,15
2023-12-17T01:37:43.902304079Z,22
2023-12-17T01:37:54.269012Z,25
2023-12-17T01:38:04.387158245Z,11
2023-12-17T01:38:14.689783827Z,32
2023-12-17T01:38:24.989095687Z,14
2023-12-17T01:38:35.295255641Z,25
2023-12-17T01:38:45.60001228Z,25
2023-12-17T01:38:55.713982912Z,16
2023-12-17T01:39:06.019321343Z,15
2023-12-17T01:39:16.142046791Z,14
2023-12-17T01:39:26.238645603Z,34
2023-12-17T01:39:36.550094089Z,17
2023-12-17T01:39:46.87666887Z,17
2023-12-17T01:39:57.221802559Z,22
2023-12-17T01:40:07.357451775Z,12
2023-12-17T01:40:17.694011901Z,22
2023-12-17T01:40:28.081437891Z,25
2023-12-17T01:40:38.401634884Z,21
2023-12-17T01:40:48.514802349Z,28
2023-12-17T01:40:58.810802095Z,17
2023-12-17T01:41:09.153231063Z,27
2023-12-17T01:41:19.294365049Z,12
2023-12-17T01:41:29.591737585Z,14
2023-12-17T01:41:39.732765233Z,14
2023-12-17T01:41:50.080480838Z,15
2023-12-17T01:42:00.380008433Z,32
2023-12-17T01:42:10.698294687Z,17
2023-12-17T01:42:20.84540512Z,13
2023-12-17T01:42:31.203617382Z,15
2023-12-17T01:42:41.343321668Z,33
2023-12-17T01:42:51.682445878Z,17
2023-12-17T01:43:01.987598283Z,16
2023-12-17T01:43:12.098412376Z,28
2023-12-17T01:43:22.237872452Z,13
2023-12-17T01:43:32.349665533Z,16
2023-12-17T01:43:42.688918952Z,24
2023-12-17T01:43:52.987124617Z,33
2023-12-17T01:44:03.329923612Z,15
2023-12-17T01:44:13.445198934Z,26
2023-12-17T01:44:23.565349445Z,34
2023-12-17T01:44:33.894099506Z,48
2023-12-17T01:44:43.994969028Z,38
2023-12-17T01:44:54.119928413Z,37
2023-12-17T01:45:04.446654955Z,24
2023-12-17T01:45:14.785406852Z,21
2023-12-17T01:45:25.088953272Z,29
2023-12-17T01:45:35.273153694Z,21
2023-12-17T01:45:45.387898093Z,28
2023-12-17T01:45:55.746336737Z,27
2023-12-17T01:46:05.891253686Z,21
2023-12-17T01:46:16.222155989Z,19
2023-12-17T01:46:26.524721146Z,27
2023-12-17T01:46:36.878604356Z,25
