,result,table,_start,_stop,_time,_value,_field,_measurement,endpoint,test,uuid
,,0,2025-01-05T05:38:26.256596787Z,2025-01-05T06:38:26.256596787Z,2025-01-05T05:39:33.656931742Z,12013484,response_time,IPv6,2606:4700:4700::1111,tcp6,76752915-4483-4161-992d-188cf52051fa
,,0,2025-01-05T05:38:26.256596787Z,2025-01-05T06:38:26.256596787Z,2025-01-05T05:40:37.811927791Z,1064835578,response_time,IPv6,2606:4700:4700::1111,tcp6,76752915-4483-4161-992d-188cf52051fa
,,0,2025-01-05T05:38:26.256596787Z,2025-01-05T06:38:26.256596787Z,2025-01-05T05:41:41.876211233Z,1029407825,response_time,IPv6,2606:4700:4700::1111,tcp6,76752915-4483-4161-992d-188cf52051fa
,,0,2025-01-05T05:38:26.256596787Z,2025-01-05T06:38:26.256596787Z,2025-01-05T05:42:44.944191364Z,13967911,response_time,IPv6,2606:4700:4700::1111,tcp6,76752915-4483-4161-992d-188cf52051fa
,,0,2025-01-05T05:38:26.256596787Z,2025-01-05T06:38:26.256596787Z,2025-01-05T05:43:47.989821328Z,13008225,response_time,IPv6,2606:4700:4700::1111,tcp6,76752915-4483-4161-992d-188cf52051fa
,,0,2025-01-05T05:38:26.256596787Z,2025-01-05T06:38:26.256596787Z,2025-01-05T05:44:52.217851454Z,1075111246,response_time,IPv6,2606:4700:4700::1111,tcp6,76752915-4483-4161-992d-188cf52051fa
,,0,2025-01-05T05:38:26.256596787Z,2025-01-05T06:38:26.256596787Z,2025-01-05T05:45:59.882274289Z,11929372,response_time,IPv6,2606:4700:4700::1111,tcp6,76752915-4483-4161-992d-188cf52051fa
,,0,2025-01-05T05:38:26.256596787Z,2025-01-05T06:38:26.256596787Z,2025-01-05T05:47:02.930130403Z,11699167,response_time,IPv6,2606:4700:4700::1111,tcp6,76752915-4483-4161-992d-188cf52051fa
,,0,2025-01-05T05:38:26.256596787Z,2025-01-05T06:38:26.256596787Z,2025-01-05T05:48:08.327472158Z,13449787,response_time,IPv6,2606:4700:4700::1111,tcp6,76752915-4483-4161-992d-188cf52051fa
,,0,2025-01-05T05:38:26.256596787Z,2025-01-05T06:38:26.256596787Z,2025-01-05T05:49:12.432864919Z,1044939535,response_time,IPv6,2606:4700:4700::1111,tcp6,76752915-4483-4161-992d-188cf52051fa
,,0,2025-01-05T05:38:26.256596787Z,2025-01-05T06:38:26.256596787Z,2025-01-05T05:50:15.499710061Z,11745578,response_time,IPv6,2606:4700:4700::1111,tcp6,76752915-4483-4161-992d-188cf52051fa
