,result,table,_start,_stop,_time,_value,_field,_measurement,endpoint,test,uuid
,,0,2025-01-05T06:17:21.816532921Z,2025-01-05T07:17:21.816532921Z,2025-01-05T06:17:57.704061483Z,14252516,response_time,IPv6,2606:4700:4700::1111,icmp6,76752915-4483-4161-992d-188cf52051fa
,,0,2025-01-05T06:17:21.816532921Z,2025-01-05T07:17:21.816532921Z,2025-01-05T06:19:01.790029262Z,12173199,response_time,IPv6,2606:4700:4700::1111,icmp6,76752915-4483-4161-992d-188cf52051fa
,,0,2025-01-05T06:17:21.816532921Z,2025-01-05T07:17:21.816532921Z,2025-01-05T06:20:05.172207747Z,14032153,response_time,IPv6,2606:4700:4700::1111,icmp6,76752915-4483-4161-992d-188cf52051fa
,,0,2025-01-05T06:17:21.816532921Z,2025-01-05T07:17:21.816532921Z,2025-01-05T06:21:09.273079766Z,13536587,response_time,IPv6,2606:4700:4700::1111,icmp6,76752915-4483-4161-992d-188cf52051fa
,,0,2025-01-05T06:17:21.816532921Z,2025-01-05T07:17:21.816532921Z,2025-01-05T06:22:12.413099384Z,12436069,response_time,IPv6,2606:4700:4700::1111,icmp6,76752915-4483-4161-992d-188cf52051fa
,,0,2025-01-05T06:17:21.816532921Z,2025-01-05T07:17:21.816532921Z,2025-01-05T06:23:36.501461281Z,12172527,response_time,IPv6,2606:4700:4700::1111,icmp6,76752915-4483-4161-992d-188cf52051fa
,,0,2025-01-05T06:17:21.816532921Z,2025-01-05T07:17:21.816532921Z,2025-01-05T06:24:40.707416128Z,11747319,response_time,IPv6,2606:4700:4700::1111,icmp6,76752915-4483-4161-992d-188cf52051fa
,,0,2025-01-05T06:17:21.816532921Z,2025-01-05T07:17:21.816532921Z,2025-01-05T06:25:43.726909509Z,13203202,response_time,IPv6,2606:4700:4700::1111,icmp6,76752915-4483-4161-992d-188cf52051fa
,,0,2025-01-05T06:17:21.816532921Z,2025-01-05T07:17:21.816532921Z,2025-01-05T06:26:52.422173057Z,11632997,response_time,IPv6,2606:4700:4700::1111,icmp6,76752915-4483-4161-992d-188cf52051fa
,,0,2025-01-05T06:17:21.816532921Z,2025-01-05T07:17:21.816532921Z,2025-01-05T06:27:55.4615325Z,11260445,response_time,IPv6,2606:4700:4700::1111,icmp6,76752915-4483-4161-992d-188cf52051fa
,,0,2025-01-05T06:17:21.816532921Z,2025-01-05T07:17:21.816532921Z,2025-01-05T06:28:59.05605601Z,12549506,response_time,IPv6,2606:4700:4700::1111,icmp6,76752915-4483-4161-992d-188cf52051fa
,,0,2025-01-05T06:17:21.816532921Z,2025-01-05T07:17:21.816532921Z,2025-01-05T06:30:03.33946209Z,12494193,response_time,IPv6,2606:4700:4700::1111,icmp6,76752915-4483-4161-992d-188cf52051fa
,,0,2025-01-05T06:17:21.816532921Z,2025-01-05T07:17:21.816532921Z,2025-01-05T06:31:09.148631059Z,11822319,response_time,IPv6,2606:4700:4700::1111,icmp6,76752915-4483-4161-992d-188cf52051fa
,,0,2025-01-05T06:17:21.816532921Z,2025-01-05T07:17:21.816532921Z,2025-01-05T06:32:15.358252875Z,11806486,response_time,IPv6,2606:4700:4700::1111,icmp6,76752915-4483-4161-992d-188cf52051fa
,,0,2025-01-05T06:17:21.816532921Z,2025-01-05T07:17:21.816532921Z,2025-01-05T06:33:19.463151472Z,11666225,response_time,IPv6,2606:4700:4700::1111,icmp6,76752915-4483-4161-992d-188cf52051fa
,,0,2025-01-05T06:17:21.816532921Z,2025-01-05T07:17:21.816532921Z,2025-01-05T06:34:23.708962525Z,10875862,response_time,IPv6,2606:4700:4700::1111,icmp6,76752915-4483-4161-992d-188cf52051fa
,,0,2025-01-05T06:17:21.816532921Z,2025-01-05T07:17:21.816532921Z,2025-01-05T06:35:26.74896855Z,11990079,response_time,IPv6,2606:4700:4700::1111,icmp6,76752915-4483-4161-992d-188cf52051fa
,,0,2025-01-05T06:17:21.816532921Z,2025-01-05T07:17:21.816532921Z,2025-01-05T06:36:35.339965671Z,18187097,response_time,IPv6,2606:4700:4700::1111,icmp6,76752915-4483-4161-992d-188cf52051fa
